customer_inn,customer_name,year,purchase_count
7736128605,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ СБЕРБАНКА""",2025,454
7736128605,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ СБЕРБАНКА""",2024,197
7707009586,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",2025,174
7736264044,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",2025,167
7736663049,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-СЕРВИС""",2025,113
7736264044,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",2024,84
7736632467,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",2025,78
7707083893,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",2025,46
7706810730,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",2025,23
7707009586,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",2024,23
7707308480,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",2025,20
7744002123,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",2025,18
7802754982,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""",2025,18
7710048970,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК КИБ""",2025,12
7707083893,СИБИРСКИЙ БАНК ПАО СБЕРБАНК,2025,5
7707308480,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",2024,5
7736632467,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",2024,4
7706810730,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",2024,3
7706810730,"Общество с ограниченной ответственностью ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",2024,3
7707083893,УРАЛЬСКИЙ БАНК ПАО СБЕРБАНК,2025,3
7744002123,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",2024,3
5024093941,"АКЦИОНЕРНОЕ ОБЩЕСТВО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РУБЛЕВО-АРХАНГЕЛЬСКОЕ""",2024,1
5024093941,"АКЦИОНЕРНОЕ ОБЩЕСТВО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РУБЛЕВО-АРХАНГЕЛЬСКОЕ""",2025,1
7707083893,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",2024,1
7707083893,СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК,2025,1
7736581290,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК КАПИТАЛ""",2024,1
