month,purchase_count,total_amount_rub,it_count,it_amount_rub,construction_count,construction_amount_rub,usd_rub_avg,key_rate_avg
2024-01,11,36513969.0,2,17425000.0,0,0,88.6803,16.0
2024-02,22,129928652.6,2,14500000.0,0,0,91.5183,16.0
2024-03,21,79165877.5,4,18372031.0,1,4564399.5,91.7316,16.0
2024-04,24,46081566.4,6,7190372.24,1,4564399.5,92.9586,16.0
2024-05,22,116647895.5,3,2090001.0,7,98095268.5,90.6072,16.0
2024-06,17,33462369.0,3,19590403.0,3,3.0,87.7569,16.0
2024-07,19,91505612.0,9,43386657.0,3,40422955.0,87.4916,16.2609
2024-08,28,195202780.12,7,42726650.15,3,46976127.97,89.1602,18.0
2024-09,30,130343665.81,6,19009300.3,3,7553941.0,91.2345,18.5238
2024-10,38,261621450.0,5,0.0,3,1947721.0,96.1602,19.3478
2024-11,49,165154943.13,9,7931505.49,5,6456174.38,100.6874,21.0
2024-12,44,78289556.39,5,7131819.0,3,33974000.0,102.2596,21.0
2025-01,30,283616334.96,2,15000000.0,3,0.0,100.4121,21.0
2025-02,61,413561445.59,7,34567867.56,10,33085612.4,92.7423,21.0
2025-03,76,193825766.25,15,32500516.92,2,0.0,86.0234,21.0
2025-04,57,320770756.99,3,43410624.0,6,3890288.0,83.4256,21.0
2025-05,27,59308208.0,2,0,4,2550002.0,80.2048,21.0
2025-06,62,72188410.32,7,7562058.0,5,1800000.0,78.6679,20.25
2025-07,84,104635185.24,9,53875116.47,5,4222775.0,78.7724,19.6522
2025-08,116,399670384.68,17,164982701.0,6,26348562.3,80.1278,18.0
2025-09,106,347600771.29,11,206278594.33,9,28917152.0,82.9708,17.4545
2025-10,170,394413823.08,31,116667602.73,16,34269771.0,80.9214,16.8913
2025-11,181,110687925.1,26,19091750.93,11,13365688.65,80.3438,16.5
2025-12,163,212359374.52,19,13534168.28,7,83293200.1,78.4016,16.3409
